position,rec_id,year,country,commodity,location,fac_name,fac_type,dmslat,dmslong,latitude,longitude,precision,mm,op_comp,maininvest,othinvest,status,capacity,units,notes,cite
734,734,2007,India,"Iron and steel: iron ore","Bastar and Durg District, Chhattisgarh",,Mine,"21° 11'  N","081° 17'  E",21.18,81.28,A,,"Steel Authority of India Ltd.","Government of India, 100%",,Active,7000,"thousand metric tons per year",,847
735,735,2007,India,"Iron and steel: iron ore","Singhbhum District, Bihar","Mine in Singhbhum District",Mine,"22° 48'  N","086° 05'  E",22.8,86.09,F,,"Steel Authority of India Ltd.","Government of India, 100%",,Active,3500,"thousand metric tons per year",,847
736,736,2007,India,"Iron and steel: iron ore","Singhbhum District, Bihar","Mine in Singhbhum District",Mine,"22° 48'  N","086° 05'  E",22.8,86.09,F,,"Tata Iron and Steel Co. Ltd.",,,Active,3500,"thousand metric tons per year",,847
737,737,2007,India,"Iron and steel: iron ore","Kendujhar District, Orissa","Mine in Kendujhar District",Mine,"21° 41'  N","085° 31'  E",21.69,85.52,F,,"Steel Authority of India Ltd.","Government of India, 100%",,Active,3000,"thousand metric tons per year",,847
738,738,2007,India,"Iron and steel: iron ore",Goa,"Mine at Goa",Mine,"15° 31'  N","074° 05'  E",15.51,74.08,F,,"Chowgule and Co. Ltd.",,,Active,2500,"thousand metric tons per year",,847
739,739,2007,India,"Iron and steel: iron ore",Goa,"Mine at Goa",Mine,"15° 31'  N","074° 05'  E",15.51,74.08,F,,"Dempo Mining Corp. Ltd.",,,Active,2500,"thousand metric tons per year",,847
740,740,2007,India,"Iron and steel: iron ore",Goa,"Mine at Goa",Mine,"15° 31'  N","074° 05'  E",15.51,74.08,F,,"V.M. Salgaocar & Bros. Pvt. Ltd.",,,Active,2500,"thousand metric tons per year",,847
741,741,2007,India,"Iron and steel: iron ore","Singhbhum District, Bihar","Mine in Singhbhum District",Mine,"22° 48'  N","086° 05'  E",22.8,86.09,F,,"Indian Iron and Steel Co. Ltd. (wholly owned subsidiary of Steel Authority of India Ltd.)","Government of India, 100%",,Active,2500,"thousand metric tons per year",,847
742,742,2007,India,"Iron and steel: iron ore","Kendujhar district, Orissa","Mine at Kendujhar District",Mine,"21° 41'  N","085° 31'  E",21.69,85.52,F,,"Tata Iron and Steel Co. Ltd.","Tata Iron and Steel Co. Ltd.",,Active,2000,"thousand metric tons per year",,847
743,743,2007,India,Kyanite,"Singhbhum District, Bihar","Mine in Singhbhum District, Bihar",Mine,"22° 40'  N","086° 01'  E",22.67,86.02,A,,"Hindustan Copper Co. Ltd.","Government of India, 100%",,Active,22,"thousand metric tons per year",,847
744,744,2007,India,Kyanite,"Bhandara District, Maharashtra","Mine in Bhandara District, Maharashtra",Mine,"21° 11'  N","079° 37'  E",21.19,79.62,A,,"Associated Mining Co.",,,Active,10,"thousand metric tons per year",,847
745,745,2007,India,Kyanite,"Bhandara District, Maharashtra","Mine in Bhandara District, Maharashtra",Mine,"21° 11'  N","079° 37'  E",21.19,79.62,A,,"Maharashtra Mineral Corp. Ltd.",,,Active,10,"thousand metric tons per year",,847
746,746,2007,India,Kyanite,"Singhbhum District, Bihar","Mine in Singhbhum District, Bihar",Mine,"22° 40'  N","086° 01'  E",22.67,86.02,A,,"Bihar State Mineral Development Corp. Ltd.","Bihar State Government, 100%",,Active,10,"thousand metric tons per year",,847
747,747,2007,India,"Lead: ore",Orissa,"Sargipalli mine",Mine,"22° 07'  N","084° 02'  E",22.12,84.03,A,U,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,150,"thousand metric tons per year",,847
748,748,2007,India,"Lead: ore","Andhra Pradesh","Agnigundala mine",Mine,"16° 03'  N","079° 45'  E",16.05,79.75,A,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,72,"thousand metric tons per year",,847
749,749,2007,India,"Lead: primary",Rajasthan,"Chanderiya smelter",Plant,"24° 56'  N","074° 38'  E",24.93,74.64,F,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,85,"thousand metric tons per year",,847
750,750,2007,India,"Lead: primary",Bihar,"Tundoo smelter",Plant,"23° 47'  N","086° 15'  E",23.79,86.25,F,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,8,"thousand metric tons per year",,847
751,751,2007,India,"Lead: secondary","Wada, Mumbai, Maharashtra","Refinery at Wada",Plant,"19° 00'  N","073° 45'  E",19,73.75,A,,"Indian Lead Co.",,,Active,40,"thousand metric tons per year",,847
752,752,2007,India,"Lead: secondary","Mumbai, Maharashtra","Thane refinery",Plant,"19° 07'  N","073° 01'  E",19.11,73.02,A,,"Indian Lead Co.",,,Active,25,"thousand metric tons per year",,847
753,753,2007,India,"Lead-zinc: ore",Rajasthan,"Rampura-Agucha Mine",Mine,"25° 50'  N","074° 45'  E",25.84,74.75,F,S,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,1300,"thousand metric tons per year",,847
754,754,2007,India,"Lead-zinc: ore",Rajasthan,"Zawar mine group",Mine,"24° 28'  N","073° 51'  E",24.47,73.85,F,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,1200,"thousand metric tons per year",,847
755,755,2007,India,Magnesite,"Salem, Tamil Nadu","Mine at Salem",Mine,"11° 44'  N","078° 08'  E",11.73,78.14,F,,"Burn Standard Co. Ltd.","Government of India, 100%",,Active,150,"thousand metric tons per year",,847
756,756,2007,India,Magnesite,"Salem, Tamil Nadu","Mine at Salem",Mine,"11° 44'  N","078° 08'  E",11.73,78.14,F,,"Dalmia Magnesite Corp.","Dalmia Magnesite Corp.",,Active,150,"thousand metric tons per year",,847
757,757,2007,India,Magnesite,"Salem, Tamil Nadu","Mine at Salem",Mine,"11° 44'  N","078° 08'  E",11.73,78.14,F,,"Tamil Nadu Magnesite Ltd.","Tamil Nadu State Government, 100%",,Active,150,"thousand metric tons per year",,847
758,758,2007,India,"Manganese: ore","Adilabad, Andhra Pradesh","Mine at Adilabad",Mine,"19° 40'  N","078° 32'  E",19.67,78.53,A,,"Manganese Ore India Ltd.","Government of India, 100%",,Active,0,,1,847
759,759,2007,India,"Manganese: ore","Andhra Pradesh","Mine in Andhra Pradesh",Mine,"16° 00'  N","079° 00'  E",16,79,A,,"Falechand Marsingdas","Falechand Marsingdas",,Active,0,,1,847
760,760,2007,India,"Manganese: ore","Balaghat, Madhya Pradesh","Mine in Balaghat",Mine,"21° 51'  N","080° 14'  E",21.85,80.24,F,,"Manganese Ore India Ltd.","Government of India, 100%",,Active,0,,1,847
761,761,2007,India,"Manganese: ore","Balaghat, Madhya Pradesh","Mine in Balaghat",Mine,"21° 51'  N","080° 14'  E",21.85,80.24,F,,"J.A. Trivedi Bros.",,,Active,0,,1,847
762,762,2007,India,"Manganese: ore","Bellary, Karnataka","Mine in Bellary",Mine,"15° 05'  N","076° 50'  E",15.08,76.83,F,,"Sandur Manganese and Iron Ores Ltd.",,,Active,0,,1,847
763,763,2007,India,"Manganese: ore","Bhandara, Maharashtra","Mine in Bhandara",Mine,"21° 14'  N","079° 38'  E",21.23,79.63,F,,"Manganese Ore India Ltd.","Government of India, 100%",,Active,0,,1,847
764,764,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"Manganese Ore India Ltd.","Government of India, 100%",,Active,0,,1,847
765,765,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"Mangilah, Rungta (Pvt.) Ltd.",,,Active,0,,1,847
766,766,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"Orissa Mining Corp. Ltd.",,,Active,0,,1,847
767,767,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"Rungta Mines (Pvt.) Ltd.",,,Active,0,,1,847
768,768,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"Serajuddin & Co.",,,Active,0,,1,847
769,769,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"S. Lall & Co.",,,Active,0,,1,847
770,770,2007,India,"Manganese: ore","Keonjhar, Orissa","Mine in Keonjhar",Mine,"21° 36'  N","085° 36'  E",21.6,85.6,F,,"Tata Iron and Steel Co. Ltd.",,,Active,0,,1,847
771,771,2007,India,"Manganese: ore","Koraput, Orissa","Mine in Koraput",Mine,"18° 49'  N","082° 43'  E",18.82,82.72,A,,"Orissa Mineral Development Co. Ltd.",,,Active,0,,1,847
772,772,2007,India,"Manganese: ore","Koraput, Orissa","Mine in Koraput",Mine,"18° 49'  N","082° 43'  E",18.82,82.72,A,,"Orissa Mining Corp. Ltd.",,,Active,0,,1,847
773,773,2007,India,"Manganese: ore","North Kanara, Karnataka","Mine in North Kanara",Mine,"14° 55'  N","074° 21'  E",14.91,74.35,A,,"Eastern Mining Co.",,,Active,0,,1,847
774,774,2007,India,"Manganese: ore","North Kanara, Karnataka","Mine in North Kanara",Mine,"14° 55'  N","074° 21'  E",14.91,74.35,A,,"Mysore Minerals Ltd.",,,Active,0,,1,847
775,775,2007,India,"Manganese: ore","Shimoga, Karnataka","Mine in Shimoga",Mine,"13° 55'  N","075° 34'  E",13.92,75.57,A,,"Mysore Minerals Ltd.",,,Active,0,,1,847
776,776,2007,India,"Manganese: ore","Sundargarh, Orissa","Mine in Sundargarh",Mine,"22° 07'  N","084° 02'  E",22.12,84.04,A,,"Aryan Mining & Trading Corp.",,,Active,0,,1,847
777,777,2007,India,"Manganese: ore","Sundargarh, Orissa","Mine in Sundargarh",Mine,"22° 07'  N","084° 02'  E",22.12,84.04,A,,"Orissa Manganese & Minerals (Pvt.) Ltd.",,,Active,0,,1,847
778,778,2007,India,"Manganese: ore","Sundargarh, Orissa","Mine in Sundargarh",Mine,"22° 07'  N","084° 02'  E",22.12,84.04,A,,"Tata Iron and Steel Co. Ltd.",,,Active,0,,1,847
779,779,2007,India,"Manganese: ore","Vizianagaram, Andhra Pradesh","Mine in Vizianagaram",Mine,"18° 07'  N","083° 25'  E",18.12,83.42,A,,"R.B.S. Shreeram Durga Prasad and Falechand Marsingdas",,,Active,0,,1,847
780,780,2007,India,Mica,"Sydapuram Mandal, Andhra Pradesh","Mine at Sydapuram Mandal",Mine,"14° 10'  N","079° 44'  E",14.17,79.73,A,,"Micafab India Pvt. Ltd.",,,Active,4500,"thousand metric tons per year",,847
781,781,2007,India,Mica,"Rjupalem, Andhra Pradesh","Mine at Rjupalem",Mine,"14° 07'  N","079° 44'  E",14.12,79.73,A,,"Premier Mica Co.",,,Active,200,"thousand metric tons per year",,847
782,782,2007,India,"Petroleum: refined",Haryana,"Panipat refinery",Plant,"29° 28'  N","076° 52'  E",29.47,76.87,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,240000,"thousand 42-gallon barrels per day",,847
783,783,2007,India,"Petroleum: refined","Vadinar, Gujarat","Refinery at Vadinar",Plant,"22° 26'  N","069° 52'  E",22.43,69.86,F,,"Essar Oil, Ltd.",,,Active,240000,"thousand 42-gallon barrels per day",,847
784,784,2007,India,"Petroleum: refined",Gujarat,"Koyali refinery",Plant,"22° 22'  N","073° 07'  E",22.37,73.12,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,185000,"thousand 42-gallon barrels per day",,847
785,785,2007,India,"Petroleum: refined","Uttar Pradesh","Mathura refinery",Plant,"27° 23'  N","077° 41'  E",27.38,77.68,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,156000,"thousand 42-gallon barrels per day",,847
787,787,2007,India,"Petroleum: refined","Tamil Nadu","Madras refinery",Plant,"13° 10'  N","080° 17'  E",13.16,80.28,F,,"Madras Refineries Ltd. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 52%","Private interests, 48%",Active,131000,"thousand 42-gallon barrels per day",,847
789,789,2007,India,"Petroleum: refined",Kerala,"Ambalamugal refinery",Plant,"09° 58'  N","076° 22'  E",9.97,76.37,F,,"Cochin Refineries Ltd. (a subsidiary of Oil and Natural Gas Corp. )","Government of India, 55%","Private interests, 45%",Active,93000,"thousand 42-gallon barrels per day",,847
790,790,2007,India,"Petroleum: refined","Andhra Pradesh","Visakhapatnam refinery",Plant,"17° 42'  N","083° 15'  E",17.7,83.25,F,,"Essar Oil, Ltd.",,,Active,90000,"thousand 42-gallon barrels per day",,847
791,791,2007,India,"Petroleum: refined",Bihar,"Barauni refinery",Plant,"25° 26'  N","086° 04'  E",25.43,86.06,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,66000,"thousand 42-gallon barrels per day",,847
792,792,2007,India,"Petroleum: refined","West Bengal","Haldai refinery",Plant,"22° 02'  N","088° 07'  E",22.04,88.11,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,61000,"thousand 42-gallon barrels per day",,847
793,793,2007,India,"Petroleum: refined",Assam,"Bongaigaon refinery",Plant,"26° 31'  N","090° 32'  E",26.52,90.53,F,,"Bongaigaon Refinery and Petrochemicals Ltd. (a subsidiary of Oil and Natural Gas Corp.,)","Government of India, 100%",,Active,27000,"thousand 42-gallon barrels per day",,847
794,794,2007,India,"Petroleum: refined",Assam,"Guwahati refinery",Plant,"26° 11'  N","091° 49'  E",26.18,91.81,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,20000,"thousand 42-gallon barrels per day",,847
795,795,2007,India,"Petroleum: refined",Assam,"Digboi refinery",Plant,"27° 23'  N","095° 37'  E",27.39,95.62,F,,"Indian Oil Corp. (a subsidiary of Oil and Natural Gas Corp.)","Government of India, 91%","Private interests, 9%",Active,12000,"thousand 42-gallon barrels per day",,847
796,796,2007,India,"Phosphate rock",Jharkhand,"Hirapur mines",Mine,"23° 48'  N","086° 27'  E",23.8,86.45,A,S,"Madhya Pradesh State Mining Corp. Ltd.","Madhya Pradesh State Government, 100%",,Active,0,,2,847
797,797,2007,India,"Phosphate rock","Madhya Pradesh","Khatamba mines",Mine,"22° 46'  N","074° 36'  E",22.77,74.6,A,S,"Madhya Pradesh State Mining Corp. Ltd.","Madhya Pradesh State Government, 100%",,Active,0,,2,847
798,798,2007,India,"Phosphate rock",Rajasthan,"Badgaon, Dakankotra, Kanpur, Kharbaria-ka-Guda, and Sallopat Mines",Mine,"24° 30'  N","073° 43'  E",24.5,73.72,F,,"Rajasthan State Mineral Development Corp. Ltd.","Rajasthan State Government, 100%",,Active,0,,2,847
799,799,2007,India,"Phosphate rock",Rajasthan,"Jhamarkotra mine",Mine,"24° 28'  N","073° 52'  E",24.47,73.87,A,,"Rajasthan State Mines and Minerals Ltd.","Rajasthan State Government, 100%",,Active,0,,2,847
800,800,2007,India,"Phosphate rock",Rajasthan,"Maton mine",Mine,"28° 08'  N","075° 35'  E",28.13,75.58,A,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,0,,2,847
801,801,2007,India,"Phosphate rock",Uttranchal,"Durmala underground mines",Mine,"30° 28'  N","078° 05'  E",30.46,78.09,A,U,"Pyrites Phosphates and Chemicals Ltd.",,,Active,0,,2,847
802,802,2007,India,"Phosphate rock",Uttranchal,"Maldeota underground mines",Mine,"30° 28'  N","078° 05'  E",30.46,78.09,A,U,"Pyrites Phosphates and Chemicals Ltd.",,,Active,0,,2,847
803,803,2007,India,Zinc,Rajasthan,"Chanderiya smelter",Plant,"24° 56'  N","074° 38'  E",24.93,74.64,F,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,340,"thousand metric tons per year",,847
804,804,2007,India,Zinc,Rajasthan,"Debari smelter",Plant,"24° 36'  N","073° 49'  E",24.6,73.82,F,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,78,"thousand metric tons per year",,847
805,805,2007,India,Zinc,"Andhra Pradesh","Visakhapatnam (Vizag) smelter",Plant,"17° 43'  N","083° 17'  E",17.71,83.28,F,,"Hindustan Zinc Ltd.","Sterlite Opportunities and Ventures Ltd., 64.9%","Government of India, 29.5%",Active,54,"thousand metric tons per year",,847
806,806,2007,India,Zinc,Kerala,"Binanipuram smelter",Plant,"10° 05'  N","076° 18'  E",10.09,76.3,A,,"Binani Zinc Ltd.",,,Active,38,"thousand metric tons per year",,847
